DEBUG 2024-08-02 16:35:43,316 autoreload File C:\Users\bossf\DLLs\_lzma.pyd first seen with mtime 1666658088.0
DEBUG 2024-08-02 16:35:43,317 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1722450069.067881
DEBUG 2024-08-02 16:35:43,318 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1722450063.6098793
DEBUG 2024-08-02 16:35:43,319 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1722450069.162886
DEBUG 2024-08-02 16:35:43,320 autoreload File C:\Users\bossf\Lib\secrets.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,321 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\core\paginator.py first seen with mtime 1722450068.9508767
DEBUG 2024-08-02 16:35:43,321 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\status.py first seen with mtime 1722450079.037881
DEBUG 2024-08-02 16:35:43,322 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\forms\fields.py first seen with mtime 1722450069.1988814
DEBUG 2024-08-02 16:35:43,323 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1722450069.366878
DEBUG 2024-08-02 16:35:43,332 autoreload File C:\Users\bossf\Lib\concurrent\futures\thread.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,333 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\forms\models.py first seen with mtime 1722450069.202879
DEBUG 2024-08-02 16:35:43,334 autoreload File C:\Users\bossf\Downloads\market_connect\devmarketer_project\devmarketer_project\__init__.py first seen with mtime 1722449576.1135893
DEBUG 2024-08-02 16:35:43,334 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\corsheaders\defaults.py first seen with mtime 1722450080.493883
DEBUG 2024-08-02 16:35:43,335 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1722450066.277879
DEBUG 2024-08-02 16:35:43,336 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1722450069.142881
DEBUG 2024-08-02 16:35:43,336 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\utils\log.py first seen with mtime 1722450069.4158814
DEBUG 2024-08-02 16:35:43,337 autoreload File C:\Users\bossf\Lib\email\base64mime.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,338 autoreload File C:\Users\bossf\Lib\collections\abc.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,338 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1722450069.1648853
DEBUG 2024-08-02 16:35:43,339 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\dj_database_url\__init__.py first seen with mtime 1722540071.9564247
DEBUG 2024-08-02 16:35:43,340 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\settings.py first seen with mtime 1722450079.0368807
DEBUG 2024-08-02 16:35:43,341 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\templatetags\static.py first seen with mtime 1722450069.3658814
DEBUG 2024-08-02 16:35:43,342 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\postgres\fields\utils.py first seen with mtime 1722450067.80888
DEBUG 2024-08-02 16:35:43,342 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\core\files\utils.py first seen with mtime 1722450068.9918818
DEBUG 2024-08-02 16:35:43,343 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1722450069.1518798
DEBUG 2024-08-02 16:35:43,344 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\core\mail\message.py first seen with mtime 1722450069.003879
DEBUG 2024-08-02 16:35:43,345 autoreload File C:\Users\bossf\Lib\random.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,346 autoreload File C:\Users\bossf\Lib\xml\__init__.py first seen with mtime 1666658050.0
DEBUG 2024-08-02 16:35:43,346 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\forms\utils.py first seen with mtime 1722450069.2048798
DEBUG 2024-08-02 16:35:43,347 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1722450067.774883
DEBUG 2024-08-02 16:35:43,348 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1722450069.0988815
DEBUG 2024-08-02 16:35:43,348 autoreload File C:\Users\bossf\DLLs\_uuid.pyd first seen with mtime 1666658086.0
DEBUG 2024-08-02 16:35:43,349 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1722450069.1318784
DEBUG 2024-08-02 16:35:43,350 autoreload File C:\Users\bossf\Lib\graphlib.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,351 autoreload File C:\Users\bossf\Lib\urllib\parse.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,351 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\urls\converters.py first seen with mtime 1722450069.3828816
DEBUG 2024-08-02 16:35:43,352 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1722450069.4528835
DEBUG 2024-08-02 16:35:43,353 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1722450069.1608818
DEBUG 2024-08-02 16:35:43,354 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework_simplejwt\exceptions.py first seen with mtime 1722472235.3292162
